timestamp,cpu_percent,procesos_activos
1749472154,10.9,298
1749472160,7.2,298
1749472166,8.1,298
1749472172,16.8,298
1749472178,13.0,298
1749472184,51.5,298
1749472190,12.3,295
1749472196,17.5,295
1749472202,14.8,296
1749472208,8.5,296
1749472214,13.0,296
1749472220,22.0,295
1749472226,13.1,294
1749472232,10.1,294
1749472238,2.9,294
1749472244,12.9,295
1749472250,31.4,295
1749472256,17.3,294
1749472262,12.6,294
1749472268,18.5,294
1749472274,24.2,294
1749472280,9.0,294
1749472286,18.0,294
1749472292,11.2,294
1749472298,19.6,294
1749472304,18.4,294
1749472310,33.3,294
1749472316,10.7,296
1749472322,13.7,296
1749472329,11.2,296
1749472335,3.9,296
1749472341,3.1,296
1749472347,8.9,296
1749472353,11.9,296
1749472359,9.5,302
1749472365,22.7,301
1749472371,6.7,301
1749472377,16.3,300
1749472383,10.7,301
1749472389,13.4,302
1749472395,10.7,302
1749472401,16.2,300
1749472407,12.6,299
1749472413,10.6,299
1749472419,19.2,299
1749472425,12.8,302
1749472431,18.1,301
1749472437,21.8,301
1749472443,40.3,301
1749472449,19.5,301
1749472455,19.3,301
1749472461,20.7,301
1749472467,21.0,301
1749472473,42.8,302
1749472479,34.1,302
1749472485,72.9,301
1749472491,76.4,302
1749472497,78.5,302
1749472503,25.2,302
1749472509,17.4,302
1749472515,17.6,300
1749472521,3.5,297
1749472527,5.8,297
1749472533,10.5,297
1749472539,6.0,297
1749472545,6.4,297
1749472551,3.5,297
1749472557,26.2,297
1749472563,25.5,298
1749472569,12.8,302
1749472575,20.1,302
1749472581,19.3,302
1749472587,17.7,302
1749472593,24.1,302
1749472599,41.8,303
1749472605,87.7,303
1749472611,87.7,302
1749472617,31.5,302
1749472623,29.6,302
1749472629,26.4,302
1749472635,23.4,302
1749472641,19.4,302
1749472647,18.8,302
1749472653,20.1,302
1749472659,28.2,296
1749472665,24.9,296
1749472671,25.2,296
1749472677,18.3,296
1749472683,21.6,296
1749472689,24.8,297
1749472695,17.8,296
1749472701,18.5,296
1749472707,19.2,296
1749472713,19.0,296
1749472719,24.0,296
1749472725,22.3,296
1749472731,19.4,295
1749472737,34.7,291
1749472743,3.3,291
1749472749,4.7,291
